f-0     (initial-fact)
f-310   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-311   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-312   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-313   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-314   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-315   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-316   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-317   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-318   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-319   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-320   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-321   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-322   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-323   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-324   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-325   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-326   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-327   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-328   (robot 1 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-329   (robot 1 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-330   (robot 2 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-331   (robot 3 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-332   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-333   (robot 2 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-334   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-335   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-336   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-337   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-338   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-339   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-340   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-341   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-342   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-343   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-344   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-345   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-346   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-347   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-348   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-349   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-350   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-351   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-352   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-353   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-354   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-355   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-356   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-357   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-358   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-359   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-360   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-361   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-362   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-363   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-364   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-365   (robot 4 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-366   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-367   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-368   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-369   (robot 2 2 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-370   (robot 3 1 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-371   (robot 3 3 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-372   (robot 5 1 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-373   (robot 5 3 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-374   (robot 1 3 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-375   (robot 2 3 3 farolas far 4 3 3 far 5 5 2 prof 10)
f-376   (robot 2 3 2 farolas far 4 3 3 far 5 5 2 prof 10)
f-377   (robot 2 2 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-378   (robot 5 3 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-379   (robot 2 4 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-380   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 prof 10)
f-381   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 prof 10)
f-382   (robot 5 5 1 farolas far 3 5 2 far 4 3 3 prof 10)
f-383   (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-384   (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-385   (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-386   (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-387   (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-388   (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-389   (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-390   (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 10)
f-391   (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-392   (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-393   (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 10)
f-394   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 10)
f-395   (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-396   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 10)
f-397   (robot 1 3 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-398   (robot 2 2 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-399   (robot 5 3 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-400   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 prof 10)
f-401   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 prof 10)
f-402   (robot 5 5 0 farolas far 3 5 2 far 4 3 3 prof 10)
f-403   (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-404   (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-405   (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-406   (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-407   (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 10)
f-408   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 10)
f-409   (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 10)
f-410   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 10)
f-411   (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-412   (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-413   (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-414   (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-415   (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-416   (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-417   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-418   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-419   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-420   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-421   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-422   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-423   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-424   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-425   (robot 1 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-426   (robot 2 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-427   (robot 2 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-428   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-429   (robot 2 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-430   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-431   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-432   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-433   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-434   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-435   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-436   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-437   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-438   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-439   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-440   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-441   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-442   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-443   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-444   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-445   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-446   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-447   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-448   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-449   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-450   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-451   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-452   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-453   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-454   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-455   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-456   (robot 1 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-457   (robot 1 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-458   (robot 3 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-459   (robot 4 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-460   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-461   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-462   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-463   (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-464   (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-465   (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-466   (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-467   (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-468   (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-469   (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-470   (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-471   (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-472   (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-473   (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-474   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 11)
f-475   (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-476   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 11)
f-477   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-478   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-479   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-480   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-481   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-482   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-483   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-484   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-485   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-486   (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-487   (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-488   (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-489   (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-490   (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-491   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 11)
f-492   (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-493   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 11)
f-494   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-495   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-496   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-497   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-498   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-499   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-500   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-501   (robot 5 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-502   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 11)
f-503   (robot 1 2 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-504   (robot 2 1 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-505   (robot 2 3 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-506   (robot 1 2 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-507   (robot 1 3 3 farolas far 4 3 3 far 5 5 2 prof 11)
f-508   (robot 2 2 3 farolas far 4 3 3 far 5 5 2 prof 11)
f-509   (robot 2 4 3 farolas far 4 3 3 far 5 5 2 prof 11)
f-510   (robot 2 3 3 farolas far 4 3 3 far 5 5 2 prof 11)
f-511   (robot 1 3 2 farolas far 4 3 3 far 5 5 2 prof 11)
f-512   (robot 2 2 2 farolas far 4 3 3 far 5 5 2 prof 11)
f-513   (robot 2 4 2 farolas far 4 3 3 far 5 5 2 prof 11)
f-514   (robot 2 1 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-515   (robot 3 2 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-516   (robot 1 4 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-517   (robot 2 5 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-518   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 prof 11)
f-519   (robot 2 2 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-520   (robot 3 1 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-521   (robot 3 3 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-522   (robot 5 1 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-523   (robot 5 3 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-524   (robot 1 3 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-525   (robot 2 3 2 farolas far 4 3 3 far 5 5 2 prof 11)
f-526   (robot 2 2 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-527   (robot 5 3 1 farolas far 4 3 3 far 5 5 2 prof 11)
f-528   (robot 2 4 0 farolas far 3 5 2 far 5 5 2 prof 11)
f-529   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 prof 11)
f-530   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 prof 11)
f-531   (robot 5 5 1 farolas far 3 5 2 far 4 3 3 prof 11)
f-532   (robot 1 2 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-533   (robot 2 1 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-534   (robot 3 2 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-535   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 prof 11)
f-536   (robot 1 3 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-537   (robot 2 2 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-538   (robot 5 3 0 farolas far 4 3 3 far 5 5 2 prof 11)
f-539   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 prof 11)
f-540   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 prof 11)
f-541   (robot 5 5 0 farolas far 3 5 2 far 4 3 3 prof 11)
f-542   (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-543   (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-544   (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-545   (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-546   (robot 5 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-547   (robot 4 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-548   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-549   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-550   (robot 2 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-551   (robot 2 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-552   (robot 1 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-553   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-554   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-555   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-556   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-557   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-558   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-559   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-560   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-561   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-562   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-563   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-564   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-565   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-566   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-567   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-568   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-569   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-570   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-571   (robot 1 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-572   (robot 1 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-573   (robot 2 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-574   (robot 3 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-575   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-576   (robot 2 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-577   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-578   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-579   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-580   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-581   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-582   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-583   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-584   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-585   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-586   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-587   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-588   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-589   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-590   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-591   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-592   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-593   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-594   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-595   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-596   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-597   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-598   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-599   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-600   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-601   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-602   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-603   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-604   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-605   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-606   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-607   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 12)
f-608   (robot 4 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-609   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-610   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-611   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-612   (robot 2 2 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-613   (robot 3 1 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-614   (robot 3 3 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-615   (robot 5 1 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-616   (robot 5 3 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-617   (robot 1 3 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-618   (robot 2 3 3 farolas far 4 3 3 far 5 5 2 prof 12)
f-619   (robot 2 3 2 farolas far 4 3 3 far 5 5 2 prof 12)
f-620   (robot 2 2 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-621   (robot 5 3 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-622   (robot 2 4 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-623   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-624   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-625   (robot 5 5 1 farolas far 3 5 2 far 4 3 3 prof 12)
f-626   (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 12)
f-627   (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-628   (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-629   (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 12)
f-630   (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-631   (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-632   (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 12)
f-633   (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 12)
