f-0     (initial-fact)
f-72    (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-73    (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-74    (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-75    (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-76    (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-77    (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-78    (robot 1 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-79    (robot 1 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-80    (robot 2 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-81    (robot 3 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-82    (robot 3 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-83    (robot 2 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-84    (robot 4 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 6)
f-85    (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-86    (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-87    (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-88    (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-89    (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-90    (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-91    (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-92    (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-93    (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-94    (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-95    (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-96    (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-97    (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-98    (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-99    (robot 1 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-100   (robot 2 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-101   (robot 2 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-102   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-103   (robot 2 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-104   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-105   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-106   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-107   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-108   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 7)
f-109   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-110   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 7)
f-111   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-112   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-113   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-114   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-115   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-116   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-117   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-118   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-119   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-120   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-121   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 7)
f-122   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-123   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 7)
f-124   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-125   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-126   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-127   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-128   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-129   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-130   (robot 1 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-131   (robot 1 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-132   (robot 3 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-133   (robot 4 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-134   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-135   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-136   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 7)
f-137   (robot 1 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-138   (robot 3 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-139   (robot 2 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-140   (robot 1 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-141   (robot 5 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-142   (robot 4 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-143   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-144   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-145   (robot 2 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-146   (robot 2 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-147   (robot 1 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-148   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-149   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-150   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-151   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-152   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-153   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-154   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-155   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-156   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-157   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-158   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-159   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-160   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-161   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-162   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-163   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-164   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-165   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-166   (robot 1 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-167   (robot 1 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-168   (robot 2 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-169   (robot 3 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-170   (robot 3 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-171   (robot 2 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-172   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-173   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-174   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 8)
f-175   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 8)
f-176   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 8)
f-177   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 8)
f-178   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 8)
f-179   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-180   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-181   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 8)
f-182   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-183   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-184   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-185   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-186   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 8)
f-187   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-188   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 8)
f-189   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-190   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 8)
f-191   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 8)
f-192   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 8)
f-193   (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-194   (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-195   (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 8)
f-196   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-197   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-198   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-199   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-200   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 8)
f-201   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-202   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 8)
f-203   (robot 4 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-204   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-205   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-206   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 8)
f-207   (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-208   (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-209   (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-210   (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-211   (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-212   (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-213   (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-214   (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-215   (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-216   (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-217   (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-218   (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-219   (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-220   (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-221   (robot 1 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-222   (robot 2 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-223   (robot 2 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-224   (robot 3 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-225   (robot 2 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-226   (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-227   (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-228   (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-229   (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-230   (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-231   (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-232   (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-233   (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-234   (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-235   (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-236   (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-237   (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-238   (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-239   (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-240   (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-241   (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-242   (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-243   (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-244   (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-245   (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-246   (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-247   (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-248   (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-249   (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-250   (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-251   (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-252   (robot 1 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-253   (robot 1 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-254   (robot 3 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-255   (robot 4 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-256   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-257   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-258   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-259   (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-260   (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-261   (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-262   (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-263   (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-264   (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-265   (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-266   (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-267   (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-268   (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-269   (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-270   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 9)
f-271   (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-272   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 9)
f-273   (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-274   (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-275   (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-276   (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-277   (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-278   (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 9)
f-279   (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-280   (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-281   (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 9)
f-282   (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-283   (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-284   (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-285   (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-286   (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-287   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 9)
f-288   (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-289   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 9)
f-290   (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 9)
f-291   (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-292   (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 9)
f-293   (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 9)
